"","array","site","buff_dist","red_squirrel","absent_red_squirrel","harvest","seismic","linear","wells","roads","osm_industrial"
"8311","LU22","LU22_65",2750,10,40,0,0.0137608723752914,0.000750693368682807,0.00242694840461666,0.00325405237470077,0.00414018884107457
"8312","LU22","LU22_65",3000,10,40,8.18475769651229e-06,0.0129663895160274,0.000743983999068159,0.00288795438630784,0.00318037470423035,0.00360641179533169
"8313","LU22","LU22_65",3250,10,40,0.00109542079927367,0.0128429166616049,0.000696965346967334,0.00262893245333517,0.00310988572608091,0.00349352412941559
"8314","LU22","LU22_65",3500,10,40,0.00632759310977069,0.0126276883053386,0.000677839174673492,0.00269423274610282,0.00299834503618416,0.00336008630161408
"8315","LU22","LU22_65",3750,10,40,0.0164857499981394,0.0123984190319104,0.000661732904108633,0.00264965885243488,0.00279107839095618,0.00300067863420311
"8316","LU22","LU22_65",4000,10,40,0.0241829656586589,0.0125324221270621,0.000642428097037866,0.00258187905647119,0.00260914975566799,0.00276722549681568
"8317","LU22","LU22_65",4250,10,40,0.0249969592528938,0.0128043966957884,0.000621513141302144,0.00251214295845645,0.00245012654498481,0.0028122648599813
"8318","LU22","LU22_65",4500,10,40,0.0262097593125856,0.0133532221469273,0.000603336189391184,0.00280328342722437,0.00230824483449745,0.00327762401132863
"8319","LU22","LU22_65",4750,10,40,0.0274064680883099,0.0134645740109692,0.000630892975789291,0.00296740721114075,0.00222918385690225,0.00378436914613322
"8320","LU22","LU22_65",5000,10,40,0.0293954556950893,0.0132771660358066,0.000797801327787486,0.00304048336383646,0.00216762060595703,0.00407094970383604
"8321","LU22","LU22_69",250,25,26,0,0.0227348822637489,0,0.0118873455902799,0,0
